epoch,train_loss,val_auc,lr_backbone,lr_head
0,0.738585,0.606061,1.00e-05,1.00e-04
1,0.728264,0.668561,1.00e-05,1.00e-04
2,0.716237,0.653409,1.00e-05,1.00e-04
3,0.706863,0.594697,1.00e-05,1.00e-04
4,0.709108,0.651515,1.00e-05,1.00e-04
5,0.708024,0.625000,1.00e-05,1.00e-04
6,0.708022,0.589015,1.00e-05,1.00e-04
7,0.714492,0.560606,1.00e-05,1.00e-04
8,0.711428,0.606061,1.00e-05,1.00e-04
9,0.706950,0.655303,1.00e-05,1.00e-04
10,0.710315,0.638258,1.00e-05,1.00e-04
11,0.703483,0.604167,1.00e-05,1.00e-04
12,0.704857,0.676136,1.00e-05,1.00e-04
13,0.711206,0.700758,1.00e-05,1.00e-04
14,0.701739,0.602273,1.00e-05,1.00e-04
15,0.707241,0.585227,1.00e-05,1.00e-04
16,0.702692,0.621212,1.00e-05,1.00e-04
17,0.706957,0.723485,1.00e-05,1.00e-04
18,0.712921,0.592803,1.00e-05,1.00e-04
19,0.711602,0.619318,1.00e-05,1.00e-04
20,0.701647,0.579545,1.00e-05,1.00e-04
21,0.697958,0.609848,1.00e-05,1.00e-04
22,0.702394,0.638258,1.00e-05,1.00e-04
23,0.705629,0.611742,1.00e-05,1.00e-04
24,0.705468,0.632576,1.00e-05,1.00e-04
25,0.710169,0.596591,1.00e-05,1.00e-04
26,0.700874,0.602273,1.00e-05,1.00e-04
27,0.704445,0.632576,1.00e-05,1.00e-04
28,0.706898,0.545455,1.00e-05,1.00e-04
29,0.701120,0.621212,1.00e-05,1.00e-04
30,0.707887,0.636364,1.00e-05,1.00e-04
31,0.702358,0.575758,1.00e-05,1.00e-04
32,0.703727,0.589015,1.00e-05,1.00e-04
